epochs steps out_loss offset_loss train_accuracy time
9 158 0.294 485.514 0.911 669.462
9 159 0.329 462.976 0.902 674.760
9 160 0.213 464.609 0.937 679.679
9 161 0.338 472.668 0.905 684.433
9 162 0.230 476.788 0.933 688.039
9 163 0.223 474.299 0.931 692.713
9 164 0.196 464.746 0.951 697.413
9 165 0.321 459.152 0.899 702.073
9 166 0.258 446.028 0.918 705.762
9 167 1.033 451.705 0.748 710.461
9 168 0.219 447.971 0.942 714.150
9 169 0.143 473.162 0.961 717.789
9 170 0.166 466.622 0.955 721.420
9 171 0.150 501.714 0.959 725.008
9 172 0.248 476.474 0.923 729.655
9 173 0.266 475.416 0.919 734.331
10 0 0.167 477.340 0.950 922.719
10 1 0.139 453.741 0.957 925.999
10 2 0.194 487.738 0.936 929.327
10 3 0.193 481.760 0.940 932.780
10 4 0.180 494.144 0.944 936.286
10 5 0.198 500.215 0.933 939.654
10 6 0.185 483.637 0.942 943.079
10 7 0.184 498.342 0.945 946.551
10 8 0.197 499.595 0.938 949.981
10 9 0.183 485.616 0.939 953.386
10 10 0.198 478.177 0.943 956.752
10 11 0.191 459.392 0.942 960.151
10 12 0.193 457.459 0.937 963.485
10 13 0.199 510.124 0.943 966.867
10 14 0.195 476.621 0.940 970.187
10 15 0.182 464.956 0.946 973.518
10 16 0.201 457.594 0.936 976.840
10 17 0.221 464.673 0.916 980.149
10 18 0.195 476.687 0.949 983.454
10 19 0.193 454.056 0.946 986.839
10 20 0.207 475.710 0.926 990.180
10 21 0.197 471.813 0.948 993.537
10 22 0.192 488.822 0.948 996.942
10 23 0.211 481.966 0.931 1000.254
10 24 0.202 459.534 0.928 1003.579
10 25 0.204 442.359 0.936 1006.928
10 26 0.205 445.095 0.931 1010.301
10 27 0.176 482.011 0.949 1013.577
10 28 0.208 475.048 0.932 1016.891
10 29 0.187 460.565 0.933 1020.207
10 30 0.187 482.738 0.933 1023.643
10 31 0.190 483.277 0.945 1026.977
10 32 0.205 484.818 0.917 1030.403
10 33 0.202 466.991 0.932 1033.796
10 34 0.233 460.276 0.914 1037.139
10 35 0.233 468.665 0.910 1040.529
10 36 0.247 469.962 0.919 1043.844
10 37 0.260 462.968 0.909 1047.142
10 38 0.265 477.154 0.906 1050.496
10 39 0.271 476.502 0.897 1053.787
10 40 0.252 480.296 0.898 1057.114
10 41 0.242 459.515 0.917 1060.520
10 42 0.256 457.403 0.892 1063.835
10 43 0.254 470.215 0.905 1067.170
10 44 0.241 456.805 0.898 1070.483
10 45 0.246 477.229 0.912 1073.837
10 46 0.216 482.388 0.928 1077.118
10 47 0.253 464.858 0.898 1080.422
10 48 0.231 452.585 0.905 1083.720
10 49 0.263 488.149 0.899 1087.042
10 50 0.239 469.005 0.905 1090.367
10 51 0.232 474.448 0.913 1093.675
10 52 0.347 469.840 0.893 1097.005
10 53 0.265 470.754 0.897 1100.351
10 54 0.241 474.814 0.902 1103.697
10 55 0.242 472.890 0.905 1107.083
10 56 0.234 487.113 0.912 1110.414
10 57 0.248 451.350 0.913 1113.620
10 58 0.234 488.967 0.915 1116.864
10 59 0.249 485.784 0.905 1120.204
10 60 0.253 471.698 0.898 1123.514
10 61 0.223 470.826 0.931 1126.772
10 62 0.208 440.104 0.928 1130.022
10 63 0.213 480.550 0.936 1133.343
10 64 0.214 456.551 0.923 1136.742
10 65 0.197 463.669 0.924 1140.103
10 66 0.207 490.129 0.932 1143.334
10 67 0.191 453.566 0.940 1146.612
10 68 0.198 450.494 0.946 1149.836
10 69 0.202 449.151 0.944 1153.064
10 70 0.186 489.708 0.950 1156.281
10 71 0.188 469.889 0.948 1159.651
10 72 0.251 468.303 0.936 1162.880
10 73 0.280 476.663 0.926 1166.220
10 74 0.195 480.990 0.948 1169.468
10 75 0.230 441.693 0.939 1172.776
10 76 0.228 484.414 0.938 1176.030
10 77 0.226 472.956 0.937 1179.249
10 78 0.192 502.561 0.953 1182.507
10 79 0.205 501.527 0.946 1185.713
10 80 0.195 522.654 0.951 1188.936
10 81 0.210 494.443 0.946 1192.168
10 82 0.251 448.833 0.924 1195.412
10 83 0.223 479.174 0.941 1198.643
10 84 0.179 486.260 0.953 1201.869
10 85 0.196 483.170 0.944 1205.233
10 86 0.197 482.781 0.937 1208.464
10 87 0.161 472.608 0.957 1211.630
10 88 0.237 475.978 0.925 1214.844
10 89 0.146 500.162 0.961 1218.014
10 90 0.149 493.960 0.957 1221.173
10 91 0.211 486.811 0.946 1224.322
10 92 0.204 488.183 0.945 1227.466
10 93 0.175 470.625 0.952 1230.653
10 94 0.187 496.371 0.946 1233.895
10 95 0.209 466.181 0.937 1237.234
10 96 0.200 460.622 0.949 1240.431
10 97 0.221 454.376 0.940 1243.596
10 98 0.203 455.414 0.944 1246.778
10 99 0.182 483.562 0.956 1250.016
10 100 0.201 457.515 0.942 1253.302
10 101 0.207 485.782 0.938 1256.705
10 102 0.216 490.680 0.933 1260.035
10 103 0.222 463.493 0.938 1263.321
10 104 0.223 470.209 0.931 1266.636
10 105 0.203 486.691 0.944 1269.852
10 106 0.202 470.517 0.947 1273.045
10 107 0.186 466.170 0.949 1276.233
10 108 0.199 495.689 0.944 1279.440
10 109 0.213 472.821 0.930 1282.592
10 110 0.196 444.945 0.950 1285.772
10 111 0.215 457.485 0.936 1288.946
10 112 0.248 471.374 0.914 1292.151
10 113 0.190 481.060 0.943 1295.362
10 114 0.186 482.703 0.951 1298.576
10 115 0.189 499.929 0.950 1301.782
10 116 0.200 501.237 0.943 1304.985
10 117 0.194 491.510 0.951 1308.186
10 118 0.200 492.897 0.941 1311.410
10 119 0.201 519.606 0.947 1314.636
10 120 0.201 477.871 0.939 1317.819
10 121 0.223 504.202 0.935 1321.037
10 122 0.197 486.466 0.942 1324.251
10 123 0.191 496.292 0.944 1327.507
10 124 0.183 444.528 0.950 1330.758
10 125 0.188 501.059 0.948 1333.980
10 126 0.170 480.397 0.958 1337.150
10 127 0.194 476.740 0.947 1340.321
10 128 0.245 458.516 0.930 1343.604
10 129 0.237 466.086 0.915 1346.743
10 130 0.211 450.850 0.929 1349.857
10 131 0.204 439.029 0.942 1352.998
10 132 0.191 447.128 0.939 1356.189
10 133 0.138 455.542 0.961 1359.292
10 134 0.147 492.668 0.957 1362.495
10 135 0.160 472.238 0.950 1365.684
10 136 0.167 484.972 0.952 1370.221
10 137 0.312 467.661 0.923 1374.899
10 138 0.170 476.562 0.943 1379.558
10 139 0.213 489.009 0.932 1384.355
10 140 0.190 489.808 0.937 1389.144
10 141 0.208 482.477 0.932 1393.943
10 142 0.228 478.653 0.929 1398.767
10 143 0.186 450.633 0.937 1403.609
10 144 0.160 463.121 0.957 1408.273
10 145 0.176 488.300 0.947 1412.928
10 146 0.248 490.012 0.928 1417.437
10 147 0.308 477.236 0.913 1422.023
10 148 0.204 461.943 0.943 1426.639
10 149 0.173 472.157 0.952 1431.255
10 150 0.191 474.572 0.950 1435.807
10 151 0.140 475.978 0.960 1440.356
10 152 0.202 476.165 0.933 1444.975
10 153 0.218 521.648 0.934 1449.528
10 154 0.241 494.037 0.924 1454.065
10 155 0.230 457.708 0.939 1458.798
10 156 0.312 462.585 0.925 1463.510
10 157 0.279 483.364 0.919 1468.533
10 158 0.297 484.144 0.910 1473.329
10 159 0.330 477.236 0.908 1478.502
10 160 0.204 507.329 0.941 1483.338
10 161 0.303 503.688 0.932 1488.001
10 162 0.203 468.024 0.949 1491.527
10 163 0.225 471.292 0.933 1496.125
10 164 0.177 456.262 0.954 1500.738
10 165 0.309 452.548 0.916 1505.318
10 166 0.236 463.014 0.929 1508.912
10 167 1.035 464.762 0.751 1513.555
10 168 0.199 461.695 0.946 1517.141
10 169 0.131 500.735 0.962 1520.692
10 170 0.158 477.085 0.956 1524.230
10 171 0.135 489.154 0.960 1527.745
10 172 0.234 474.300 0.924 1532.298
10 173 0.267 482.281 0.915 1536.889
11 0 0.155 485.896 0.950 1710.586
11 1 0.132 473.153 0.960 1713.762
11 2 0.186 456.609 0.927 1716.981
11 3 0.179 477.595 0.937 1720.329
11 4 0.179 507.801 0.947 1723.722
11 5 0.176 497.295 0.936 1727.000
11 6 0.160 498.955 0.953 1730.347
11 7 0.180 502.691 0.944 1733.729
11 8 0.178 486.033 0.944 1737.076
11 9 0.169 474.243 0.945 1740.387
11 10 0.185 463.845 0.944 1743.681
11 11 0.170 487.274 0.949 1746.990
11 12 0.186 455.696 0.945 1750.234
11 13 0.172 500.376 0.947 1753.549
11 14 0.187 488.595 0.946 1756.785
11 15 0.160 464.870 0.957 1760.022
11 16 0.184 467.692 0.934 1763.267
11 17 0.168 448.816 0.948 1766.480
11 18 0.163 484.441 0.951 1769.676
11 19 0.185 465.766 0.940 1772.960
11 20 0.179 467.811 0.940 1776.203
