epoch step loss mIoU lr
1 1000 248.6053 65.038 0.000100
2 1000 248.6615 68.908 0.000100
3 1000 248.6959 73.449 0.000100
4 1000 248.4377 76.083 0.000100
5 1000 248.2717 77.169 0.000100
6 1000 249.0122 77.110 0.000100
7 1000 248.4265 77.866 0.000100
8 1000 248.2431 78.870 0.000100
9 1000 248.7196 78.291 0.000100
10 1000 248.9453 78.415 0.000100
11 1000 248.8844 78.857 0.000100
12 1000 248.5341 79.155 0.000100
13 1000 249.2744 79.049 0.000100
14 1000 249.3332 78.893 0.000100
15 1000 248.8102 78.908 0.000100
16 1000 248.7832 79.466 0.000100
17 1000 248.4923 79.953 0.000100
18 1000 248.6863 79.278 0.000100
19 1000 248.1435 78.821 0.000100
20 1000 248.5372 75.676 0.000100
21 1000 248.2765 74.393 0.000100
22 1000 249.3910 78.080 0.000100
23 1000 248.1859 69.287 0.000050
24 1000 248.5062 73.112 0.000050
25 1000 248.7724 75.410 0.000050
