epoch step loss mIoU lr
1 1000 253.7736 77.493 0.000100
2 1000 253.8093 91.411 0.000100
3 1000 253.4960 96.456 0.000100
4 1000 253.6829 97.163 0.000100
5 1000 253.5932 97.474 0.000100
6 1000 254.0758 97.698 0.000100
7 1000 253.6390 97.907 0.000100
8 1000 254.1336 98.086 0.000100
9 1000 253.4284 98.254 0.000100
10 1000 253.4101 98.407 0.000100
11 1000 253.5929 98.539 0.000100
12 1000 253.9348 98.671 0.000100
13 1000 253.7698 98.783 0.000100
14 1000 253.9538 98.874 0.000100
15 1000 253.1950 98.963 0.000100
16 1000 253.8325 99.043 0.000100
17 1000 253.7893 99.109 0.000100
18 1000 253.9541 99.167 0.000100
19 1000 253.5465 99.218 0.000100
20 1000 253.2240 99.255 0.000100
21 1000 253.2319 99.294 0.000100
22 1000 253.7938 99.333 0.000100
23 1000 253.4488 99.361 0.000100
24 1000 253.7550 99.386 0.000100
25 1000 253.3218 99.413 0.000100
26 1000 253.6466 99.437 0.000100
27 1000 253.8240 99.457 0.000100
28 1000 254.2855 99.477 0.000100
29 1000 254.0447 99.494 0.000100
30 1000 253.6112 99.511 0.000100
31 1000 253.1530 99.526 0.000100
32 1000 253.7322 99.538 0.000100
33 1000 253.5827 99.551 0.000100
34 1000 253.7723 99.568 0.000100
35 1000 253.6163 99.582 0.000100
36 1000 253.3128 99.581 0.000100
37 1000 254.0078 99.594 0.000100
38 1000 253.8181 99.605 0.000100
39 1000 253.7574 99.612 0.000100
40 1000 254.1639 99.623 0.000100
41 1000 253.3068 99.626 0.000100
42 1000 253.2679 99.632 0.000100
43 1000 253.5413 99.639 0.000100
44 1000 254.0330 99.646 0.000100
45 1000 254.0091 99.653 0.000100
46 1000 253.9798 99.658 0.000100
47 1000 254.0893 99.666 0.000100
48 1000 253.4062 99.671 0.000100
49 1000 253.5034 99.678 0.000100
50 1000 253.7951 99.683 0.000100
