frame,num_points,centroid_x,centroid_y,centroid_z,axis1,axis2,axis3,obb_dx,obb_dy,obb_dz,obb_volume
frame_0054_overlay_go1_uncertainty_clean.ply,44,9.788415,-1.0580559,-1.0326835,0.21459791,0.15464507,0.1378255,0.36481646,0.26289663,0.23430337,0.022471806034445763
frame_0055_overlay_go1_uncertainty_clean.ply,56,9.759743,-1.061484,-1.0681145,0.23079535,0.20491219,0.149151,0.3923521,0.34835073,0.2535567,0.03465515375137329
frame_0056_overlay_go1_uncertainty_clean.ply,56,9.69272,-1.0493268,-1.0551623,0.23365447,0.18583946,0.1317517,0.3972126,0.3159271,0.2239779,0.028107034042477608
frame_0057_overlay_go1_uncertainty_clean.ply,54,9.638409,-1.0428487,-1.0569354,0.23007913,0.18906298,0.113358736,0.39113453,0.32140708,0.19270986,0.02422621287405491
frame_0058_overlay_go1_uncertainty_clean.ply,55,9.586226,-1.0254129,-1.0425948,0.2445236,0.1837583,0.108368,0.41569012,0.31238914,0.1842256,0.02392299845814705
frame_0059_overlay_go1_uncertainty_clean.ply,51,9.53266,-0.9818702,-1.0524275,0.21980119,0.17732869,0.1535775,0.37366202,0.30145878,0.26108176,0.029409214854240417
frame_0060_overlay_go1_uncertainty_clean.ply,56,9.480176,-0.9705488,-1.0576447,0.2258019,0.18753983,0.13075195,0.38386324,0.31881773,0.22227833,0.02720295637845993
frame_0061_overlay_go1_uncertainty_clean.ply,37,9.901792,-1.0846075,-1.0282482,0.21960825,0.15565147,0.12905411,0.37333402,0.2646075,0.219392,0.02167307399213314
frame_0062_overlay_go1_uncertainty_clean.ply,46,9.41261,-0.944404,-1.0716709,0.21762182,0.18548295,0.11808966,0.3699571,0.31532103,0.20075242,0.02341882511973381
frame_0063_overlay_go1_uncertainty_clean.ply,55,9.372,-0.9291674,-1.0781916,0.21430366,0.19578664,0.1364612,0.36431623,0.33283728,0.23198405,0.028129925951361656
frame_0064_overlay_go1_uncertainty_clean.ply,52,9.270626,-0.8743899,-1.0840306,0.19319734,0.17469983,0.14811969,0.32843548,0.2969897,0.2518035,0.024561405181884766
