frame,centroid_x,centroid_y,centroid_z,robot_points,window_start,window_end
0150,8.802979,-0.37960488,-1.2092439,85,136,150
0151,8.72906,-0.926806,-1.1331074,93,137,151
0152,8.702188,-0.96101767,-1.1243112,79,138,152
0153,8.681606,-0.9929361,-1.1229064,42,139,153
0155,8.715537,-0.9646633,-1.1198808,92,141,155
0156,8.5907,-0.95026964,-1.1120661,70,142,156
0157,8.640793,-0.37990302,-1.2220577,101,143,157
0159,8.779068,-0.73549813,-1.1553388,35,145,159
0163,8.618511,-0.1860049,-1.2245882,85,149,163
0165,8.701057,-0.41290525,-1.230409,126,151,165
0166,8.582647,-0.50673544,-1.2095536,122,152,166
0172,8.671711,-0.6546461,-1.1899251,41,158,172
0173,8.629284,-0.66977584,-1.1917953,31,159,173
0174,8.487921,-0.4130769,-1.2125975,114,160,174
0175,8.705611,-0.8392781,-1.1742563,68,161,175
0178,8.55766,-0.8232587,-1.1821502,37,164,178
0179,8.547971,-0.8212222,-1.1631671,35,165,179
0180,8.533704,-0.8336048,-1.1301886,38,166,180
0181,8.491014,-0.8351019,-1.1584753,33,167,181
0182,8.499417,-0.8109036,-1.1622721,45,168,182
0183,8.510372,-0.8090626,-1.161237,43,169,183
0185,8.669427,-0.21829079,-1.2713798,86,171,185
0186,8.054122,-0.377315,-1.2338121,78,172,186
0187,8.531677,-0.14205606,-1.2139087,66,173,187
0188,8.637111,-0.25515902,-1.2404174,82,174,188
0189,8.6679125,-0.254009,-1.2391526,85,175,189
0190,8.440129,-0.31138235,-1.2310499,75,176,190
0191,8.701494,-0.34235692,-1.2285622,70,177,191
0193,8.663878,-0.8757096,-1.114343,49,179,193
0194,8.652243,-0.8351061,-1.129677,45,180,194
0195,8.723189,-0.8541559,-1.120816,55,181,195
0196,8.798408,-0.8710868,-1.1123636,68,182,196
0197,8.8669815,-0.883334,-1.1064962,71,183,197
0198,8.934341,-0.88777316,-1.1066761,74,184,198
0199,9.004609,-0.90187776,-1.0824882,57,185,199
0200,9.082603,-0.9194179,-1.0991182,62,186,200
0201,9.163564,-0.9452266,-1.0439954,43,187,201
0202,9.146803,-0.94546795,-1.0610092,53,188,202
0203,9.081784,-0.92021036,-1.0772448,51,189,203
0204,8.702867,-0.26319033,-1.2210135,75,190,204
0205,8.874301,-0.8794536,-1.1456198,35,191,205
0206,8.869329,-0.90215605,-1.1318331,73,192,206
0207,8.766373,-0.24428695,-1.1798584,97,193,207
0208,8.76434,-0.8931713,-1.1348598,68,194,208
0209,8.68048,-0.8798719,-1.1469476,75,195,209
0210,8.5153885,-0.8718344,-1.1453667,79,196,210
0211,8.481662,-0.8626218,-1.1392943,76,197,211
0212,8.464286,-0.85752195,-1.1429878,84,198,212
0213,8.600615,-0.8831341,-1.134262,62,199,213
0214,8.424709,-0.85821795,-1.1319427,73,200,214
0215,8.355109,-0.8129149,-1.1523122,57,201,215
0216,8.336536,-0.83813304,-1.1504273,50,202,216
0217,8.302596,-0.8184769,-1.1882426,43,203,217
0218,8.353128,-0.8051934,-1.1517096,78,204,218
0219,8.293161,-0.77156717,-1.155424,37,205,219
0220,8.322416,-0.7674011,-1.1459289,50,206,220
0221,8.461807,-0.7029727,-1.1239859,35,207,221
0222,8.352027,-0.79484916,-1.1526647,70,208,222
0223,8.404396,-0.2852499,-1.2481244,100,209,223
0224,8.353452,-0.791157,-1.1603386,78,210,224
0225,8.468464,-0.6827608,-1.1193706,33,211,225
0226,8.461942,-0.6911489,-1.1298872,46,212,226
0227,8.395652,-0.7106948,-1.1730133,33,213,227
0228,8.22369,-0.9152321,-1.1971924,46,214,228
0229,8.375257,-0.31768143,-1.2588284,102,215,229
0231,8.421169,-0.45835075,-1.2484471,86,217,231
0232,8.470203,-0.20891495,-1.2574762,97,218,232
0233,8.457869,-0.28872567,-1.2324399,82,219,233
0234,8.4278755,-0.39484757,-1.2327344,122,220,234
0235,8.348268,-0.83932817,-1.1562027,98,221,235
0236,8.314828,-0.8382454,-1.1878893,59,222,236
0237,8.449019,-0.1693395,-1.245803,88,223,237
0238,8.382374,-0.66605353,-1.1358768,30,224,238
0239,8.282008,-1.0216664,-1.2463255,38,225,239
0240,8.338184,-0.7895185,-1.1760219,72,226,240
0247,8.526493,-0.18959826,-1.2829211,85,233,247
0248,8.392738,-0.40097684,-1.2763076,103,234,248
0249,8.220483,-0.5162869,-1.2351129,108,235,249
0250,8.370075,-0.473911,-1.2617404,94,236,250
0251,8.399395,-0.47923887,-1.2513831,101,237,251
0252,8.314162,-0.5351583,-1.2581698,98,238,252
0253,8.487675,-0.36287832,-1.2112167,102,239,253
0254,8.36556,-0.3753416,-1.2681501,74,240,254
0255,8.442716,-0.42272606,-1.2579632,90,241,255
0256,8.441463,-0.48226002,-1.2528988,79,242,256
0257,8.580617,-0.2759312,-1.2701036,88,243,257
0258,8.257513,-0.45463687,-1.2642709,119,244,258
0259,8.877541,-0.11962697,-1.2652265,63,245,259
0261,8.328576,-0.9821669,-1.1853249,56,247,261
0262,8.405581,-1.1462691,-1.233672,28,248,262
0263,8.3803005,-1.0816094,-1.2311068,41,249,263
0264,8.322371,-0.95919335,-1.1834184,90,250,264
0265,8.329308,-1.004166,-1.18153,64,251,265
0266,8.395334,-0.449807,-1.2293162,126,252,266
0268,8.515637,-0.5666854,-1.2529593,91,254,268
0269,8.541546,-0.38104725,-1.2580365,91,255,269
0270,8.593075,-0.15689291,-1.2377822,77,256,270
0271,8.653439,-0.38591856,-1.2313,102,257,271
0272,8.510527,-0.35043252,-1.2429466,101,258,272
0273,8.674007,-0.21204357,-1.2648124,89,259,273
0274,8.22566,-0.48764926,-1.2143191,112,260,274
0275,8.397301,-0.5580886,-1.2345537,129,261,275
0276,8.351494,-0.48669463,-1.2393361,133,262,276
0277,8.510674,-0.41011596,-1.2198344,118,263,277
0278,8.523342,-0.4637061,-1.2169535,127,264,278
0279,8.445788,-0.5387326,-1.208257,76,265,279
0280,8.47701,-0.4209753,-1.2298716,81,266,280
0281,8.610713,-0.32025144,-1.2539598,78,267,281
0282,8.413502,-0.45761,-1.2530227,72,268,282
0283,8.402791,-0.2970595,-1.2261758,82,269,283
0284,8.446269,-0.44353706,-1.2268453,78,270,284
0285,8.493102,-0.30202925,-1.2188164,81,271,285
0286,8.544286,-0.29881954,-1.2115257,106,272,286
0287,8.337963,-0.4672117,-1.2099761,110,273,287
0288,8.398545,-0.63540965,-1.23308,107,274,288
0289,8.784854,-0.24631079,-1.2262081,75,275,289
0290,8.381654,-0.617113,-1.2127466,88,276,290
0291,8.424895,-0.49557462,-1.2283707,91,277,291
0292,8.658415,-0.25441682,-1.2358948,95,278,292
0293,8.557354,-0.22650144,-1.2353535,104,279,293
0294,8.381884,-0.35935748,-1.2342132,81,280,294
0295,8.615046,-0.3624763,-1.233005,88,281,295
0296,8.41251,-0.5671308,-1.2268475,95,282,296
0297,8.635916,-0.50127584,-1.2340624,78,283,297
0298,8.439245,-0.40272632,-1.2266406,113,284,298
0303,8.6887245,-0.3695964,-1.2264599,82,289,303
0304,8.616823,-0.52076584,-1.2176169,80,290,304
0305,8.427877,-0.46115646,-1.2144433,95,291,305
0306,8.751992,-0.2314712,-1.2434834,96,292,306
0308,8.440509,-1.0621991,-1.1085424,38,294,308
0309,8.493826,-1.1139845,-1.139522,44,295,309
0310,8.501479,-0.15064958,-1.2177457,64,296,310
0313,8.644899,-1.1420448,-1.1466973,63,299,313
0314,8.705422,-1.1603965,-1.1257102,60,300,314
0315,8.818511,-1.1959295,-1.1264875,58,301,315
0316,8.85448,-1.2146277,-1.1208987,60,302,316
0317,8.944544,-1.2411653,-1.1138425,62,303,317
0318,9.065403,-1.2690911,-1.0916487,57,304,318
0319,9.068883,-1.2283268,-1.0712484,45,305,319
0320,9.134251,-1.2494541,-1.0772606,43,306,320
0321,9.226966,-1.284824,-1.0846361,53,307,321
0322,9.298972,-1.2905443,-1.0833384,54,308,322
0323,9.532256,-1.3550928,-1.0835757,61,309,323
0324,9.573148,-1.3573711,-1.0718392,56,310,324
0325,9.651372,-1.3673337,-1.0434922,45,311,325
0326,9.7160425,-1.3739499,-1.0662317,52,312,326
0327,9.778611,-1.3833913,-1.0591857,52,313,327
0329,9.819049,-1.3648157,-1.0451639,38,315,329
0330,9.863511,-1.4038445,-1.0281211,38,316,330
0333,9.953804,-1.4629413,-1.0268734,41,319,333
0339,10.129687,-1.4908612,-1.0255952,40,325,339
0340,10.167887,-1.4996896,-1.0441667,36,326,340
0342,10.266407,-1.5362751,-1.0324132,43,328,342
0346,10.502585,-1.5965061,-0.9988807,38,332,346
0347,10.562242,-1.6083834,-1.0109252,37,333,347
0352,10.782839,-1.6508087,-0.9821185,30,338,352
0356,10.941161,-1.6932957,-0.96183306,32,342,356
0360,9.659896,-0.58584714,-1.1526587,96,346,360
0364,9.887203,-0.67099756,-1.1466994,86,350,364
0369,9.736597,-0.8619719,-1.1397028,83,355,369
0370,9.321662,-0.44854805,-1.1916339,62,356,370
0371,9.510934,-0.5076602,-1.1692511,85,357,371
0372,9.206939,-0.34466368,-1.1825876,67,358,372
0373,9.335334,-0.79576695,-1.1400696,81,359,373
0377,9.625551,-0.76349765,-1.1444324,65,363,377
0382,10.673737,-1.6686155,-0.96775293,32,368,382
0383,10.656726,-1.6808133,-0.9797032,36,369,383
0384,9.289609,-0.801298,-1.1592895,86,370,384
0385,10.639109,-1.696564,-1.0004275,37,371,385
0388,9.376863,-0.4414737,-1.172049,84,374,388
0390,9.2681265,-0.39163038,-1.1967962,101,376,390
0393,10.541377,-1.7894038,-0.98414713,30,379,393
